father_id,nid,name,profession,income
1,4187327832,Jessica Myers,Television camera operator,62018
2,2161657968,Michael Roberts,"Lecturer, higher education",46556
3,3231893563,Douglas Murphy,Waste management officer,64788
4,1058411237,Jason Reyes,"Producer, radio",69649
5,3858215557,Charles Bishop,"Scientist, physiological",36064
6,5332145403,John Allen,Database administrator,41029
7,4248911655,James York,"Engineer, water",73444
8,3456194795,Zachary Snow,"Engineer, electrical",30759
9,2703396792,Alexander Moore,"Engineer, water",31245
10,3043366112,Jeffrey Rodriguez,Air traffic controller,43591
11,7753525802,Joseph Jenkins,Field seismologist,56943
12,9836961047,Erica Luna,Human resources officer,68139
13,6388940124,Brenda Sutton,"Therapist, occupational",20949
14,8360909439,Jesse Schmidt,Sports coach,32356
15,6409210231,Thomas Benitez,Wellsite geologist,85708
16,3969943793,Lisa Gomez,Broadcast engineer,69043
17,1819053980,Angelica Bates,Land,27628
18,7689081530,Emily Moore,Science writer,20929
19,4238553108,David Carson,Armed forces logistics/support/administrative officer,54347
20,7278826015,Chelsea Mccullough,Comptroller,92803
21,8431722326,Matthew Miller,Database administrator,80363
22,9812715616,Mary Howard,Prison officer,90755
23,8654270441,Donald Mcdonald,"Engineer, maintenance (IT)",93979
24,4571868768,Carl Bell,"Scientist, physiological",83490
25,5824631647,Eric Taylor,Multimedia specialist,23269
26,4401098048,Kristina West,Insurance account manager,92810
27,6198623075,Charlotte Wang,Press photographer,98528
28,9499453655,Benjamin Solis,"Doctor, hospital",90132
29,6812301687,Joshua Brennan,"Nurse, adult",62460
30,6092543592,Jacob Spears,Financial controller,39536
31,8297758366,David Johnson,Occupational psychologist,41739
32,2483752281,Kevin Mitchell,Education administrator,96223
33,9550679751,Darren Lopez,"Therapist, sports",80301
34,7798796736,Brittany Rodriguez,Garment/textile technologist,98027
35,8535982212,Jared Johnson,Health visitor,48761
36,9165684774,Christopher Ruiz,Advertising art director,65276
37,7073431654,Brenda Sanchez,Scientific laboratory technician,44142
38,8573992146,Kelly Day,Geophysical data processor,67394
39,7681872486,Allen Knapp,Insurance risk surveyor,46589
40,7933749349,Lisa Rodriguez,Maintenance engineer,21313
41,8261530471,Kathryn Martinez,Administrator,37640
42,1637201724,Michael Moore,"Therapist, music",73953
43,6530071464,Michael Lopez,Holiday representative,24474
44,2569252112,Stacey Suarez,Catering manager,73697
45,3485979075,Eileen Green,Music therapist,93837
46,2086061769,Rebecca Lewis,Corporate treasurer,71304
47,3789515843,Richard Gomez,Fine artist,54510
48,4452192315,John Barron,"Psychologist, forensic",48680
49,7612984848,Sharon Powell,"Clinical scientist, histocompatibility and immunogenetics",84612
50,8505811629,Thomas Hanna,"Psychologist, educational",91745
51,8519333595,Ashley Yates,"Engineer, materials",71528
52,9099084912,Chad Sanchez,Senior tax professional/tax inspector,41904
53,6789462756,Jessica House,"Horticulturist, commercial",53508
