mother_id,nid,name,profession,income
1,4565173154,Christopher Schneider,"Accountant, chartered certified",51136
2,3766723706,Ronald Dunn,Animator,87216
3,7573815286,Ashlee Watson,Prison officer,23824
4,2448955035,Mariah Lucas,Sport and exercise psychologist,74252
5,9192583306,Shane Barker,"Exhibitions officer, museum/gallery",63331
6,4464645308,Brittany King,"Radiographer, therapeutic",69338
7,3285839066,Ryan Boyer,Acupuncturist,46573
8,4862396901,Michael Frederick,Energy manager,59741
9,9217480280,Nicholas Gordon,Petroleum engineer,93650
10,2671644478,Nicole Nguyen,Sport and exercise psychologist,73879
11,6300577467,Donna Levy,Ophthalmologist,43365
12,3111669781,Benjamin Sims,"Engineer, site",44010
13,2681541238,Timothy Proctor,Communications engineer,61263
14,1619613545,Crystal Wilson,Health and safety adviser,95049
15,9735803276,Denise Lopez,Fine artist,23132
16,3675844393,Joseph Calderon,Copy,51414
17,5485485647,George Small,Commercial art gallery manager,38103
18,1646620099,Christopher Dominguez,"Chemist, analytical",75823
19,9281961380,David Silva,"Editor, magazine features",95352
20,1231814942,Jeff Dickson,Ergonomist,66920
21,6141017587,Cassandra Fox,"Engineer, petroleum",29796
22,7458733572,Steven Jackson,Event organiser,28547
23,9301234423,Melissa Thomas,Armed forces operational officer,51214
24,8115969556,Walter Carpenter,"Engineer, production",27841
25,5560286136,Jacob Stephens,Sports coach,96543
26,7578563730,Jessica White,Intelligence analyst,54079
27,2600550297,Jill Boone,"Development worker, community",75753
28,6338649021,Annette Lawrence,Translator,42961
29,9130531814,Courtney Harris,Information officer,89974
30,1675617031,Shawn Lopez,"Programmer, multimedia",77896
31,2491381501,Anne Evans,Photographer,54277
32,9327884577,Micheal Weaver,Proofreader,72861
33,4370946891,Eric Burns,"Psychotherapist, dance movement",21147
34,8635251460,Benjamin Alexander,Chiropodist,20156
35,2379133676,Garrett Anderson,Ophthalmologist,50183
36,8743199400,James Rodriguez,Insurance underwriter,41738
37,8532717592,Diane Bailey,Pensions consultant,71248
38,9507014516,Misty Robinson,Arts administrator,76878
39,8931329589,Mark Stevens,Ambulance person,78777
40,9601489904,Joe Hall,Technical sales engineer,85419
41,4009634506,Deanna Ochoa,Health promotion specialist,78151
42,9151134571,Tiffany Green,Legal executive,72455
43,2855099072,Bruce Riddle,Contracting civil engineer,36944
44,3048174502,Nicholas Mahoney,Market researcher,80849
45,6213819953,Felicia Brock,Electrical engineer,30344
46,5590874966,Timothy Wong,Chemical engineer,96933
47,8362967820,Zachary Williams,"Solicitor, Scotland",33864
48,5323347523,Leslie Gray,Operations geologist,56916
49,6138578875,Samuel Hall,Press photographer,80508
50,5770414358,Cassandra Warren,Water engineer,89105
51,8561648195,Rodney Martin,"Engineer, drilling",29883
52,8103468373,Brooke Smith,Operational investment banker,67013
53,1698480224,Nancy Contreras,Research scientist (life sciences),20040
54,8050743517,Tina Watson,Economist,56016
55,4613118241,Veronica Aguirre,Environmental health practitioner,26222
56,5411307724,Marcus Johnson,Mudlogger,33418
57,6648416296,Christina Davidson,"Programmer, applications",80181
58,7192511318,Nicole Henry,Museum/gallery exhibitions officer,98765
59,5806240823,Tony Ward,Sports administrator,29270
60,9638618340,Gregory Berry,"Sales professional, IT",69230
61,9049944444,Claudia Green,Occupational therapist,35902
62,9622475185,Ryan Webb,Writer,67912
63,6175963697,Andrew Sellers,Systems developer,38903
64,1977000736,Holly Newman,Geophysical data processor,72858
65,3589469417,Mark Odonnell,Colour technologist,65238
66,5160075166,Robin Lawrence,Diagnostic radiographer,90773
67,4727476777,Antonio Wright,Ophthalmologist,39760
68,9566538097,James Small,Dance movement psychotherapist,44605
69,8917257073,Anthony Thompson,Museum education officer,23182
70,9373506422,Roy Oconnell,Clinical psychologist,68939
71,8974003835,James Green,"Merchandiser, retail",34996
72,8374517535,Samantha Sutton,Set designer,20743
73,9819464146,Christine Robertson,"Librarian, public",68481
74,9609344168,Ronald Williams,"Administrator, arts",43443
75,4587943114,Randy King,"Radiographer, therapeutic",38208
76,3611392905,Timothy Parks,"Doctor, hospital",91672
77,6190060683,Kathleen Long,Stage manager,39684
78,3523918795,Sarah Jones,Graphic designer,90289
79,1984759083,Kristy Bishop,Professor Emeritus,40863
80,6886526473,Danielle Banks,Television production assistant,31543
81,7503751945,Krystal Smith,"Journalist, newspaper",65790
82,1081618939,Elizabeth Rodriguez,Pensions consultant,85994
83,1910489997,Kathryn Johnson,Homeopath,79467
84,4856832224,Richard Crosby,"Surveyor, building",78354
85,1550936368,Christopher Munoz,"Physicist, medical",34682
86,9724396905,Robert Hunt,Curator,62674
87,9434941012,Pamela Barajas,Advertising account executive,67469
88,7896234212,Chelsea Santiago,Paramedic,92581
89,1277803113,Belinda Mooney,Learning mentor,99274
90,1150629223,Micheal Jackson,Public relations officer,70871
91,1580215889,Kyle Patel,English as a second language teacher,63917
92,5122539967,Nicole Perez,Colour technologist,42960
93,6855298561,Edward Walters,Public affairs consultant,36952
94,1771126368,Andrew Hernandez,Airline pilot,34420
95,7437997190,Gail Hamilton,Curator,22699
96,9244285124,Emily Sellers,Arboriculturist,57572
97,5789409788,Christopher Fernandez,"Therapist, nutritional",94420
98,9140524928,Caleb Rosario,"Education officer, environmental",31068
99,8218762645,Alexis Thomas,Geophysicist/field seismologist,99932
100,7097905036,Amanda Stevens,Financial adviser,86614
101,5618317522,Troy Oneill,Information systems manager,79061
102,7716578774,Meghan Grant,Holiday representative,40863
103,8257562863,Lynn Sanchez,Warden/ranger,83719
104,9718168016,Donna Scott,Building control surveyor,30716
105,8344610861,Isaiah Jenkins,Higher education careers adviser,98370
106,9859955951,Tiffany Jackson,"Psychologist, occupational",53085
107,7022129025,Jane Erickson,Theatre manager,48143
108,2313196401,James Douglas,Geochemist,87438
109,8946499371,John Newman,"Surveyor, hydrographic",70464
110,2688909962,Jon Weaver,Commercial/residential surveyor,37136
111,7986280152,Dominique Lane,"Civil engineer, consulting",23346
112,7830077066,Ronald Rodriguez,"Engineer, electronics",68701
113,1721825979,Christopher Solis,Nutritional therapist,40087
114,2403639869,David James,Legal secretary,54290
115,2751670945,Crystal Dunn,"Psychologist, forensic",55970
116,2953824494,Jeffrey Jones,Housing manager/officer,49030
117,3724207047,Robert Johnston,"Designer, industrial/product",45899
118,1744653713,Michael Castillo,Advice worker,94256
119,5699162938,John Khan,Osteopath,38122
120,4265309286,Kelly Kramer,"Engineer, agricultural",34269
121,8793097846,Chase Whitney,Politician's assistant,93035
122,4526324197,Ronald Barker,Lexicographer,49648
123,8011215293,Tanya Silva,"Radiographer, therapeutic",60934
124,5251682829,William Bryant,Financial controller,78938
125,2260813219,Laura Wong,"Surveyor, mining",59330
126,7295682552,Matthew Gomez,Hydrogeologist,60268
127,3308178007,Kevin Cruz,"Teacher, English as a foreign language",39975
128,2306630472,John Miles,TEFL teacher,30524
129,5232038424,Monica Parker,Catering manager,99301
130,2281620089,Nancy Collins,Gaffer,36354
131,8290031540,Nicole Wade,Advertising copywriter,47720
132,7491298374,Julia Travis,Chief Operating Officer,67312
133,6431200419,Margaret Lane,Occupational psychologist,39324
134,9883572018,Daniel Roth,Television/film/video producer,28368
135,1303700950,Blake Rodriguez,"Production designer, theatre/television/film",32824
136,2614778809,Sarah Taylor,Broadcast journalist,33978
137,7687973771,Kaitlyn Holmes,Child psychotherapist,21215
138,7276004639,John Potter,"Designer, ceramics/pottery",58656
139,2092024523,Joseph Torres,Recycling officer,84243
140,4921855030,Emily Romero,Recruitment consultant,90158
141,2204225976,Alan Davis,"Scientist, clinical (histocompatibility and immunogenetics)",50803
142,6615829845,Stephanie Cameron,Building control surveyor,75831
143,7352382134,Andrea Price,Tax inspector,92485
144,6325136668,Diane Finley,Charity officer,62605
145,7540099815,Matthew Osborne,Purchasing manager,23076
146,9155428250,Amanda Ellison,Public relations account executive,89960
147,4404957783,Robert Alvarez,Armed forces logistics/support/administrative officer,30741
148,5848088465,Michelle Shaw,"Designer, graphic",88899
149,4906858574,Shannon Foster,Geochemist,89819
150,7620458257,Austin Warren,Corporate treasurer,21423
151,3844651747,Felicia Ryan,Commercial art gallery manager,35825
152,4180535925,Shelby Lyons,Learning disability nurse,65751
153,3278029220,Ross Martinez,Sales executive,60460
154,1346784642,Valerie Mccann,Charity fundraiser,67762
155,1887369259,Dustin Smith,Photographer,37895
156,9620943951,Evan Robinson,Associate Professor,64989
157,6643637453,Nancy Anderson,Armed forces training and education officer,29381
158,9477443775,Jordan Martinez,"Designer, fashion/clothing",95533
159,4118732825,Jack King,Make,42673
160,2653081850,Kelsey Haynes,Financial trader,70666
161,7826994522,Michelle Maldonado,Public relations account executive,42818
162,1043777541,Scott Simmons,"Accountant, chartered public finance",24635
163,5497920702,Michelle Fisher,Financial manager,86957
164,8211838630,Molly Levine,Speech and language therapist,73883
165,4208691681,Susan Johnson,"Accountant, chartered management",98220
166,3838122580,Andrew Kim,Medical laboratory scientific officer,91482
167,8320285301,David Smith,Sub,40239
168,2527007618,Craig Boyd,Equities trader,53413
169,8930250621,Eric Weber,Sales promotion account executive,76169
170,4714939849,Kenneth Davis,Market researcher,78036
171,7937715072,Anthony Gomez,Fine artist,82188
