student_id,name,present_address,permanent_address,age,gender,club_membership,father_id,mother_id
1,Patrick Smith,"384, Ann Mountains, Rogerberg, New Markburgh, New Hampshire","2917, Cook Fork, North Joshuaton, East Audreyport, Wyoming, West Virginia",21,Male,Yes,1,1
2,Whitney Jones,"4094, Carrillo Rue, Pollardport, North Connieville, Colorado","5265, Salinas Lake, West Courtney, Keithview, Oregon, North Carolina",25,Male,Yes,2,2
3,Michele Ochoa,"9295, Anthony Burg, Smithton, Port Garrett, Alaska","3597, Michelle Unions, Longton, Port Annettebury, Idaho, West Virginia",23,Female,No,3,3
4,Alan Meyer,"622, Chris Falls, Thomasstad, Alvarezfort, Nebraska","49340, Lynn Greens, Kathleenmouth, Hillland, Georgia, Utah",27,Male,No,4,4
5,Thomas Ayala,"9853, Jared Creek, Natalieville, Derekville, Colorado","298, Mary Spurs, Gonzalezshire, Port Matthew, Delaware, Oregon",21,Male,Yes,5,5
6,Valerie Lane,"39941, Chung Flat, Kristenbury, Christiemouth, Louisiana","457, Kennedy Street, Sonyahaven, New Daniel, Delaware, Idaho",26,Female,No,6,6
7,Michael Mcdonald,"4465, Ortega Manors, North Marcus, Codyton, Pennsylvania","412, Carter Stream, Brownburgh, West Fernandomouth, Maine, Hawaii",30,Male,No,7,7
8,Derrick Lopez,"625, Chung Ridges, Lake Mike, Jeremyfurt, Alaska","3945, Wright Meadow, Sarahland, Danielview, South Carolina, West Virginia",20,Male,Yes,8,8
9,Rhonda Turner,"86935, Hernandez Centers, New Justin, New Rachel, Texas","32995, Gibson Groves, Andersonstad, Jillmouth, Michigan, Vermont",21,Female,Yes,9,9
10,Shelly Shah,"02885, Tara Hills, East Andrewshire, Lake Maryhaven, Nevada","14851, Spencer Divide, South Timothy, Jamieport, Utah, West Virginia",28,Male,Yes,10,10
11,Anthony Powell,"7533, Amanda Mount, New Davidstad, East James, Ohio","0336, Derrick Walks, Port Dawnbury, Edwardfurt, Montana, Maine",24,Male,Yes,11,11
12,Paige Stephens,"69670, Darren Stravenue, Suzanneview, Grayshire, Nebraska","4202, John Fort, South Keithchester, South Diana, Wyoming, Missouri",28,Female,Yes,12,12
13,Alyssa Burke,"0170, Johnson Circles, Laneton, Port Patrick, Oregon","91037, Grant Plain, Alexandriaview, Schultzland, Washington, Massachusetts",26,Female,Yes,13,13
14,David Foster,"452, White Gateway, Jenniferstad, Jeffreyton, Idaho","424, Mccarthy Street, Port Tyler, North Teresaview, Michigan, Minnesota",25,Male,No,14,14
15,Alexandria Chaney,"2841, Parks Row, Lindseyland, Lindaville, Delaware","53826, Hardy Lakes, Thomaston, New Juan, Massachusetts, Washington",23,Female,Yes,15,15
16,Noah Tucker,"399, Donald Isle, North Matthewmouth, Oneillshire, Rhode Island","0884, Clark Spurs, Reynoldstown, Douglasfurt, Massachusetts, West Virginia",18,Male,No,16,16
17,Dr. Benjamin Pacheco,"03558, John Camp, Michaelshire, East Williamville, Maine","1039, Barnes Curve, Annetteside, Matthewborough, Wisconsin, South Carolina",25,Female,Yes,17,17
18,Kenneth Perkins,"5155, Rodriguez Vista, Mcdanielborough, Port Christineburgh, Washington","599, Janet Flat, South Howard, Cynthiastad, North Dakota, Nebraska",23,Female,No,18,18
19,Jennifer Barnett,"184, Heidi Mountains, Curtisfort, North Samanthafurt, Nebraska","9037, Smith Grove, Dianechester, East Natalieport, Maryland, North Carolina",26,Female,Yes,19,19
20,Nicolas Dawson,"04259, Amy Highway, Lake Stephenville, Nicholeland, Maryland","6042, James Brook, Maryfurt, Luisshire, Michigan, Maine",24,Female,Yes,20,20
